"age","year","sex","n","mean_smoke_freq","mean_drink_freq","mean_social_media","mean_online_hrs","mean_sdq_conduct","mean_sdq_emotion","mean_sdq_hyperact","mean_sdq_peers","mean_sdq_prosocial","mean_sdq_total","mean_health","mean_disability","mean_happiness_index","mean_parent_index","mean_sib_index","mean_selfesteem_index","mean_tvhrs_index","mean_leisure_index"
13,2015,"Male",323,1.4375,0.229357798165138,0.722397476340694,1.28318584070796,NA,NA,NA,NA,NA,NA,3.85534591194969,NA,5.84540763673891,3.16719242902208,NA,3.18178534571723,2.20278637770898,1.41154257249458
14,2015,"Female",296,2.44117647058824,0.52803738317757,0.85958904109589,1.90725806451613,NA,NA,NA,NA,NA,NA,3.56122448979592,NA,5.52011299435028,3.08904109589041,NA,2.98537819889861,2.21938775510204,1.35745322944475
14,2015,"Male",306,2.21428571428571,0.580645161290323,0.817275747508306,1.59751037344398,NA,NA,NA,NA,NA,NA,3.875,NA,5.83807189542484,3.05280528052805,NA,3.18994535519126,2.19572368421053,1.41471906361612
15,2015,"Female",279,2.42857142857143,0.907317073170732,0.935018050541516,2.109375,NA,NA,NA,NA,NA,NA,3.45487364620939,NA,5.28076463560335,2.99640287769784,NA,2.90663509131251,2.1415770609319,1.30982725458532
15,2015,"Male",313,2.36363636363636,0.921161825726141,0.893203883495146,1.55762081784387,NA,NA,NA,NA,NA,NA,3.81672025723473,NA,5.64014909478168,3.01597444089457,NA,3.1648790506618,2.19009584664537,1.4199564191577
10,2016,"Female",284,NA,0.272727272727273,0.372759856630824,1.34579439252336,1.89752650176678,2.91166077738516,3.63250883392226,1.87279151943463,8.52650176678445,10.3144876325088,NA,NA,6.15469483568075,2.87665157612341,3.24474051339286,NA,1.69366197183099,NA
10,2016,"Male",284,5,0.5,0.373665480427046,1.27102803738318,2.29577464788732,2.76760563380282,4.10211267605634,2.01056338028169,7.85211267605634,11.1760563380282,NA,NA,6.02932862190813,2.89748490945674,3.1147825271841,NA,1.58098591549296,NA
11,2016,"Female",342,NA,0.428571428571429,0.587020648967552,1.42574257425743,1.64516129032258,2.97653958944282,3.26470588235294,1.74486803519062,8.32844574780059,9.64117647058823,NA,NA,6.12823529411765,2.8906850459482,3.26077523159434,NA,1.73156342182891,NA
11,2016,"Male",285,5,0.4,0.526690391459075,1.37837837837838,2.21631205673759,2.59219858156028,4.13829787234043,1.96099290780142,7.61702127659574,10.9078014184397,NA,NA,5.96056338028169,2.86389168343394,3.23134920634921,NA,1.59929078014184,NA
12,2016,"Female",293,1,0.884615384615385,0.712328767123288,1.60386473429952,1.8839590443686,3.09215017064846,3.32764505119454,1.58361774744027,8.22260273972603,9.88737201365188,NA,NA,5.97224118316268,2.85434747277751,3.19921085858586,NA,1.78620689655172,NA
12,2016,"Male",336,2.5,0.545454545454545,0.663636363636364,1.41777777777778,2.23880597014925,2.30538922155689,4.18263473053892,1.7134328358209,7.61011904761905,10.4264264264264,NA,NA,5.99276447105788,2.79335317460317,3.20740266790755,NA,1.6377245508982,NA
13,2016,"Female",277,3.5,0.741379310344828,0.88086642599278,1.9672131147541,1.99275362318841,3.60144927536232,3.73188405797101,1.93115942028985,8.02536231884058,11.2572463768116,NA,NA,5.62487922705314,2.80436651194774,3.21142159792787,NA,1.85559566787004,NA
13,2016,"Male",270,1.71428571428571,0.907407407407407,0.776951672862453,1.47142857142857,2.1635687732342,2.30111524163569,4.05947955390335,1.93308550185874,7.23420074349442,10.457249070632,NA,NA,5.81173533083645,2.75068783068783,3.25602935139573,NA,1.68164794007491,NA
14,2016,"Female",338,2.82142857142857,1,0.907462686567164,2.08580858085809,1.87573964497041,3.88427299703264,3.87537091988131,1.94955489614243,7.86943620178042,11.5845697329377,NA,NA,5.50786350148368,2.76519442096365,3.22688212608987,NA,1.88724035608309,NA
14,2016,"Male",331,2.76470588235294,1.02173913043478,0.805471124620061,1.53759398496241,2.19817073170732,2.3914373088685,4.00305810397554,1.85932721712538,7.03048780487805,10.4233128834356,NA,NA,5.82017276422764,2.71249460509279,3.31728070175439,NA,1.63525835866261,NA
15,2016,"Female",294,2.72222222222222,1.1,0.901023890784983,2.19391634980989,1.97250859106529,4.10996563573883,3.71134020618557,2.09278350515464,7.92832764505119,11.8865979381443,NA,NA,5.49470989761092,2.75131195335277,3.2172619047619,NA,1.77474402730375,NA
15,2016,"Male",296,3.37037037037037,1.08823529411765,0.881533101045296,1.75675675675676,2.08843537414966,2.29591836734694,3.89455782312925,2.01694915254237,7.01706484641638,10.2764505119454,NA,NA,5.74681456200228,2.77503217503217,3.37306030520316,NA,1.59661016949153,NA
10,2017,"Female",275,1,0.0352112676056338,0.553113553113553,1.23841059602649,NA,NA,NA,NA,NA,NA,4.06593406593407,NA,6.0772506082725,3.2639405204461,NA,3.19751322751323,2.0018315018315,1.58016044561499
10,2017,"Male",275,1,0.0429447852760736,0.48,1.18461538461538,NA,NA,NA,NA,NA,NA,4.02573529411765,NA,5.98339393939394,3.26568265682657,NA,3.16571080987139,2.15328467153285,1.4802360972361
11,2017,"Female",246,1,0.0275862068965517,0.704918032786885,1.45029239766082,NA,NA,NA,NA,NA,NA,4,NA,6.03442176870748,3.23651452282158,NA,3.15065597667638,2.04897959183673,1.43103464963221
11,2017,"Male",270,2,0.0638297872340425,0.654275092936803,1.32183908045977,NA,NA,NA,NA,NA,NA,3.98513011152416,NA,5.91407407407407,3.17424242424242,NA,3.18664070891514,2.20224719101124,1.52933081478621
12,2017,"Female",290,1.5,0.122093023255814,0.889273356401384,1.5875486381323,NA,NA,NA,NA,NA,NA,3.80985915492958,NA,5.83241379310345,3.13636363636364,NA,3.13381283068783,2.14827586206897,1.4300641025641
12,2017,"Male",244,1.83333333333333,0.111111111111111,0.805785123966942,1.46153846153846,NA,NA,NA,NA,NA,NA,3.83884297520661,NA,5.8082304526749,3.21008403361345,NA,3.11756198347107,2.14256198347107,1.41179930042635
13,2017,"Female",277,1.41666666666667,0.25,0.909747292418773,1.83333333333333,NA,NA,NA,NA,NA,NA,3.77256317689531,NA,5.73339350180505,3.21454545454545,NA,3.10172769468798,2.06317689530686,1.31308449372529
13,2017,"Male",300,1.58333333333333,0.242718446601942,0.883333333333333,1.48679245283019,NA,NA,NA,NA,NA,NA,3.78929765886288,NA,5.79035674470457,3.12080536912752,NA,3.19362159579551,2.185,1.33753279128279
14,2017,"Female",260,1.73684210526316,0.653846153846154,0.976833976833977,2.07539682539683,NA,NA,NA,NA,NA,NA,3.5968992248062,NA,5.45096525096525,3.07751937984496,NA,2.97651222651223,2.16602316602317,1.34035522071236
14,2017,"Male",232,1.64705882352941,0.556962025316456,0.913419913419913,1.61244019138756,NA,NA,NA,NA,NA,NA,3.9,NA,5.81919191919192,3.07522123893805,NA,3.18096277812435,2.08478260869565,1.37447896930656
15,2017,"Female",302,2.21153846153846,0.861788617886179,0.973421926910299,2.10344827586207,NA,NA,NA,NA,NA,NA,3.60810810810811,NA,5.32544150110375,2.94333333333333,NA,2.93702696310312,2.10797342192691,1.26497965334886
